X,Y
2,13
2,14
2,17
2,18
3,13
3,14
3,17
3,18
4,13
4,14
4,17
4,18
5,13
5,14
5,17
5,18
6,13
6,14
6,17
6,18
7,13
7,14
7,15
7,16
7,17
7,18
7,19
8,12
8,13
8,19
8,20
